Title,Title_URL,Image,_3lwzlk,_2_r_dz,_2_r_dz1,rgwa7d,rgwa7d2,rgwa7d3,rgwa7d4,_30jeq3,_3i9_wc,,,
acer Nitro 23.8 inch Full HD LED Backlit IPS Panel Gaming Monitor (VG240Y),https://www.flipkart.com/acer-nitro-23-8-inch-full-hd-led-backlit-ips-panel-gaming-monitor-vg240y/p/itm0cedfb5040f99?pid=MONFZA9NKSTZCQFP&lid=LSTMONFZA9NKSTZCQFPU3PAYU&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONFZA9NKSTZCQFP.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kk76wsw0/monitor/z/j/2/vg240ys-um-qv0ss-s01-acer-original-imafzhrx7chh7cbg.jpeg?q=70,4.5,997 Ratings,148 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 Nits,Response Time: 0.5 ms | Refresh Rate: 165 Hz,"?13,830","?17,500",,,
"ViewSonic 24 inch Full HD LED Backlit IPS Panel Tilt, Swivel , Pivot , Height Adjustable Gaming Monito...",https://www.flipkart.com/viewsonic-24-inch-full-hd-led-backlit-ips-panel-tilt-swivel-pivot-height-adjustable-gaming-monitor-xg2405/p/itmd9b56335d36b1?pid=MONFUEVA4TRHZVVQ&lid=LSTMONFUEVA4TRHZVVQTDFSWY&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATmX5wfWuYETkERNQmQ5JVzFt3aMqWoP7NmUKGKjCEKKjA%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ku2zjww0/monitor/w/f/w/xg2405-full-hd-xg2405-viewsonic-original-imag7a3zk9xs6hm7.jpeg?q=70,4.6,169 Ratings,34 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Response Time: 1 ms | Refresh Rate: 144 Hz,HDMI Ports - 2,"?19,999","?24,150",,,
"BenQ 27 inch Full HD LED Backlit IPS Panel Frameless, Flicker-Free, Built-In Speakers Monitor (GW2780)",https://www.flipkart.com/benq-27-inch-full-hd-led-backlit-ips-panel-frameless-flicker-free-built-in-speakers-monitor-gw2780/p/itm1b2d1797fe4be?pid=MONEXFVGBMHHDTPG&lid=LSTMONEXFVGBMHHDTPG6NUB5V&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONEXFVGBMHHDTPG.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkfrjww0/monitor/k/y/u/gw2780-na-benq-original-imafzs3hhv2wtcsd.jpeg?q=70,4.5,"4,212 Ratings",669 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 60 Hz,"?14,990","?19,990",,,
MarQ By Flipkart 27 inch Full HD LED Backlit AHVA Panel with 2 X 3W Inbuilt Speakers Monitor (27FHDMIQ...,https://www.flipkart.com/marq-flipkart-27-inch-full-hd-led-backlit-ahva-panel-2-x-3w-inbuilt-speakers-monitor-27fhdmiqiibb/p/itm34e9681a05beb?pid=MONGAYHGFHYHAFNS&lid=LSTMONGAYHGFHYHAFNSBHS3I0&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAYHGFHYHAFNS.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l3xcr680/monitor/f/g/n/-original-imagexykfchnuf9p.jpeg?q=70,4.4,75 Ratings,14 Reviews,Panel Type: AHVA Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?11,699","?18,999",,,
"SAMSUNG 23.8 inch Curved Full HD LED Backlit VA Panel with 1800R Curvature, Game Mode Function, Eye-Sa...",https://www.flipkart.com/samsung-23-8-inch-curved-full-hd-led-backlit-va-panel-1800r-curvature-game-mode-function-eye-saver-mode-flicker-free-technology-super-slim-monitor-lc24f390fhwxxl/p/itmezu53yhwg2ayg?pid=MONEZU4Z8BYBV2GZ&lid=LSTMONEZU4Z8BYBV2GZGGVTPD&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONEZU4Z8BYBV2GZ.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l0cr4i80/monitor/h/9/j/-original-imagc5h2xarnghhz.jpeg?q=70,4.5,"2,909 Ratings",507 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,VGA Support | HDMI,Brightness: 250 nits,"?10,999","?16,510",,,
ViewSonic 24 Inch Full HD LED Backlit VA Panel Frameless Gaming Monitor (VX2418-P-MHD),https://www.flipkart.com/viewsonic-24-inch-full-hd-led-backlit-va-panel-frameless-gaming-monitor-vx2418-p-mhd/p/itm5bf58d749ae1d?pid=MONG3SFRHVX7TF5H&lid=LSTMONG3SFRHVX7TF5HFHXXSV&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATlPEhPT2nlHVGkW3FRCXvOIwVbALklDqHypfr7P7gIIUw%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ku2zjww0/monitor/o/k/b/vx2418-p-mhd-full-hd-vs18572-viewsonic-original-imag7a3x4usufpep.jpeg?q=70,4.4,14 Ratings,4 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 1 ms | Refresh Rate: 165 Hz,"?14,999","?23,600",,,
MarQ By Flipkart 32 inch Curved Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Gaming Monit...,https://www.flipkart.com/marq-flipkart-32-inch-curved-full-hd-led-backlit-va-panel-2-x-3w-inbuilt-speakers-gaming-monitor-32fhdmcqii1g/p/itmc3a5f6a8c621e?pid=MONGAYHG97KGYYWX&lid=LSTMONGAYHG97KGYYWXNTWARL&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAYHG97KGYYWX.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/monitor/n/s/9/-original-imageudy57eywqdy.jpeg?q=70,4.8,8 Ratings,4 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 300 nits,Response Time: 5 ms | Refresh Rate: 165 Hz,"?16,499","?25,999",,,
acer NITRO 27 inch Full HD LED Backlit IPS Panel 165 Gaming Monitor (VG270S),https://www.flipkart.com/acer-nitro-27-inch-full-hd-led-backlit-ips-panel-165-gaming-monitor-vg270s/p/itme964fae95303f?pid=MONG9R2NTE8YVHEA&lid=LSTMONG9R2NTE8YVHEAELDQIL&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONG9R2NTE8YVHEA.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kx9as280/monitor/d/o/d/vg270s-full-hd-27-um-hv0si-s01-acer-original-imag9ryu4ujcphzh.jpeg?q=70,4.7,29 Ratings,2 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,HDMI,Inbuilt Speaker,"?16,299","?26,999",,,
MarQ By Flipkart 24 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (24FHDMVQII...,https://www.flipkart.com/marq-flipkart-24-inch-full-hd-led-backlit-va-panel-2-x-3w-inbuilt-speakers-monitor-24fhdmvqiihb/p/itma1b6ab550ceaa?pid=MONGAYHGM59HYBGD&lid=LSTMONGAYHGM59HYBGD3ZG8XB&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAYHGM59HYBGD.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/monitor/w/x/o/-original-imageudygqyzcqpf.jpeg?q=70,4.4,75 Ratings,14 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?9,299","?12,999",,,
ViewSonic 24 inch Curved Full HD LED Backlit VA Panel Inbuilt Speakers Gaming Monitor (VX2458-C-MHD),https://www.flipkart.com/viewsonic-24-inch-curved-full-hd-led-backlit-va-panel-inbuilt-speakers-gaming-monitor-vx2458-c-mhd/p/itm46848492e84bb?pid=MONFUEVAZ5RJJTHZ&lid=LSTMONFUEVAZ5RJJTHZKUBNI8&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATkJTwsu4eTPy8w6b9Xhffw71MeQya8LUYG84UXsmbaGUw%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/keaaavk0/monitor/t/h/z/vx2458-c-mhd-vx2458-c-mhd-viewsonic-original-imafuznuzjzkmzkf.jpeg?q=70,4.3,23 Ratings,4 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Response Time: 1 ms | Refresh Rate: 144 Hz,HDMI Ports - 1,"?14,999","?20,560",,,
